episode,timesteps,episode_reward,episode_duration,energy_consumed,final_distance,final_speed,remaining_battery,success
1,2000,1.381275,2000,0.007100705416621733,1525.392472743988,0.0,794319.4356667021,0.0
2,4000,1296.5584,2000,0.6244924882714726,846.9288647174835,0.0,300406.00938282226,0.0
3,6000,-3.096003,2000,0.013663271704031055,1527.2993445396423,0.10824811644852161,789069.3826367747,0.0
4,8000,1.606263,2000,0.00628507134684247,1525.310218334198,0.0,794971.9429225274,0.0
5,10000,-1.082145,2000,0.008966413414155053,1526.5279412269592,0.06496331188827753,792826.869268677,0.0
6,12000,39.239152,2000,0.10630155075758166,1501.4997124671936,0.0,714958.7593939356,0.0
7,14000,-17.790333,2000,0.028140284899922825,1533.9245796203613,2.041441798210144,777487.7720800617,0.0
8,16000,-452.546612,2000,0.12215634675664916,1746.5879917144775,0.6259384751319885,702274.9225946813,0.0
9,16838,904.80406,838,1.0019293923564279,824.0337073802948,9.597687125205994,0.0,0.0
10,18838,1125.649793,2000,0.5796318559921161,934.627890586853,5.989997386932373,336294.51520630723,0.0
11,20771,1194.991849,1933,1.0044750980175772,678.938090801239,14.21919584274292,0.0,0.0
12,22771,1243.588487,2000,0.8229170017043828,863.4741604328156,1.9812405109405518,141666.39863649532,0.0
13,24771,1568.757171,2000,0.7581064023589954,704.1671723127365,0.0,193514.8781128034,0.0
14,25356,756.252974,585,1.0017574039796084,898.3076512813568,8.56711208820343,0.0,0.0
15,27356,1559.240429,2000,0.8001904242365213,706.8148702383041,0.0,159847.66061078332,0.0
16,29356,1735.679893,2000,0.7839892421841592,619.3845123052597,4.218603074550629,172808.60625267282,0.0
17,31356,2245.074604,2000,0.49647779655686275,379.0733367204666,0.25589369237422943,402817.76275450876,0.0
18,33356,2039.737734,2000,0.48256882384339683,482.4359714984894,0.8539408445358276,413944.9409252821,0.0
19,35356,1769.587828,2000,0.7870944388178219,602.283775806427,7.596709728240967,170324.4489457421,0.0
20,37356,2420.869456,2000,0.6577181871752087,283.11601281166077,3.1957605481147766,273825.4502598333,0.0
21,39356,2415.007635,2000,0.687279537870667,284.56686437129974,0.0442690122872591,250176.36970346794,0.0
22,41356,2453.464958,2000,0.7038414282068863,264.50762897729874,0.20312126725912094,236926.85743449052,0.0
23,43356,2444.561178,2000,0.6585473657034264,271.22578024864197,0.7404612749814987,273162.1074372566,0.0
24,45356,2454.70561,2000,0.6821916930684884,264.97091352939606,0.0,254246.645545209,0.0
25,47356,2447.008028,2000,0.6130585446726485,272.278256714344,0.0,309553.164261882,0.0
26,49356,2454.294176,2000,0.6272203210543287,267.92310923337936,0.687422975897789,298223.74315653543,0.0
27,51356,2457.993863,2000,0.6552611404827896,264.67468589544296,0.02284348476678133,275791.08761376684,0.0
28,53356,2465.797938,2000,0.652421147072348,260.91568171977997,0.0,278063.0823421231,0.0
29,55356,2448.033472,2000,0.6318147944462861,270.8274945616722,0.0,294548.1644429698,0.0
30,57356,2455.768894,2000,0.6396595220152259,266.56658202409744,0.0,288272.38238781923,0.0
31,59356,2442.424599,2000,0.6270181399682825,273.87041598558426,0.14572223648428917,298385.4880253762,0.0
32,61356,2424.205056,2000,0.6526958809833631,281.69719129800797,1.3678072392940521,277843.2952133089,0.0
33,63356,2433.552656,2000,0.7905970912499966,270.12723684310913,3.1612566113471985,167522.32700000305,0.0
34,64013,924.325037,657,1.0001181583781957,814.2715394496918,4.64898020029068,0.0,0.0
35,66013,2279.714916,2000,0.6376426767602559,354.69426959753036,2.4816161394119263,289885.8585917946,0.0
36,68013,2307.051096,2000,0.4828831959008889,348.76520186662674,0.0,413693.4432792877,0.0
37,70013,2370.233427,2000,0.5214816249475617,315.24257361888885,1.282733827829361,382814.7000419512,0.0
38,72013,1955.735847,2000,0.4818326872449305,524.475172162056,11.32993221282959,414533.8502040541,0.0
39,74013,2390.816067,2000,0.421607920239312,309.9474236369133,0.01191799296066165,462713.66380854975,0.0
40,76013,2379.89795,2000,0.41917438067296026,315.5253455042839,0.046853432431817055,464660.49546163256,0.0
41,78013,2363.221331,2000,0.60951211823125,314.3472746014595,1.3725805282592773,312390.3054150027,0.0
42,80013,2369.039364,2000,0.5571694872150184,314.0561208128929,0.0,354264.41022798524,0.0
43,82013,2421.878596,2000,0.5778688126194576,286.601722240448,0.032737525179982185,337704.94990443357,0.0
44,84013,2419.585101,2000,0.6371978619158436,284.7800999879837,0.0,290241.71046732593,0.0
45,86013,2474.99395,2000,0.6705761408786598,255.414716899395,0.0,263539.0872970732,0.0
46,88013,2413.641398,2000,0.7275902984543209,283.23470056056976,0.12206616811454296,217927.76123654383,0.0
47,90013,2404.873939,2000,0.6330412095154704,292.34352707862854,0.0,293567.0323876252,0.0
48,92013,2396.39426,2000,0.5421818960978936,301.1273816227913,1.781013011932373,366254.4831216851,0.0
