episode,timesteps,episode_reward,episode_duration,energy_consumed,final_distance,final_speed,remaining_battery,success
1,2000,1.686016,2000,0.007177392128116177,1525.2467393875122,0.0,794258.0862975076,0.0
2,4000,-1596.830539,2000,0.536198136283955,2298.04265499115,0.0,371041.4909728356,0.0
3,6000,492.682007,2000,0.1615496651975435,1272.018402814865,0.0,670760.2678419646,0.0
4,8000,-0.798833,2000,0.008382160235949872,1526.4095664024353,0.03715221304446459,793294.2718112398,0.0
5,10000,0.559429,2000,0.007159181457876281,1525.7883667945862,0.0,794272.6548336986,0.0
6,12000,359.803641,2000,0.010145594527323705,1346.0257351398468,0.20210234448313713,791883.5243781392,0.0
7,14000,2.884048,2000,0.008568744517056198,1524.560272693634,0.6462159752845764,793145.0043863562,0.0
8,16000,-0.827804,2000,0.007424109554998385,1526.4782309532166,0.08648475632071495,794060.7123560024,0.0
9,18000,167.463115,2000,0.36793814495934074,1424.3060052394867,0.07588386535644531,505649.48403252574,0.0
10,18910,814.952473,910,1.004991281127989,868.9572215080261,14.841142892837524,0.0,0.0
11,20910,935.154878,2000,0.5094293280485312,1033.3901345729828,6.240817904472351,392456.5375611744,0.0
12,22910,1209.830418,2000,0.37375028086945394,902.8292298316956,0.13599513098597527,500999.7753044385,0.0
13,23440,795.561228,530,1.0016997797001985,878.6530494689941,12.42045521736145,0.0,0.0
14,25440,1675.023521,2000,0.9901459964405501,639.4169926643372,0.0,7883.202847558404,0.0
15,26055,1156.946271,615,1.0051420773699904,697.96022772789,19.576112031936646,0.0,0.0
16,28055,1904.158648,2000,0.6998059424483957,589.5102471113205,1.6089729964733124,596500.9371104555,0.0
17,30055,1727.741583,2000,0.7533546127403277,674.8855859041214,0.0,681928.0097096958,0.0
18,32055,1776.056121,2000,0.8518359465284481,645.7651555538177,0.0,645520.8603588559,0.0
19,34055,1915.067584,2000,0.7689287357484395,530.4528325796127,3.4373313188552856,184857.0114012482,0.0
20,36055,2064.298943,2000,1.0427493151535394,492.20989644527435,0.027925821486860514,191732.7504657505,0.0
21,38055,1832.78251,2000,0.46218278570308,586.9388580322266,0.0,430253.77143753564,0.0
22,40055,1841.541214,2000,0.42818829576707024,584.2549502849579,0.0,457449.3633863438,0.0
23,42055,1914.333182,2000,0.5398648294440908,542.2665327787399,0.5211824178695679,368108.13644472795,0.0
24,44055,1879.849624,2000,0.6535610431555924,553.8300722837448,0.0,277151.1654755256,0.0
25,46055,2233.347506,2000,0.6089160238577059,379.31714951992035,0.0,312867.1809138371,0.0
26,48055,2114.065084,2000,0.6188548414286812,438.45681846141815,0.7016275823116302,304916.1268570553,0.0
27,50055,1857.507238,2000,0.5594785071945252,569.7026252746582,0.0,352417.19424437976,0.0
28,52055,2463.508787,2000,0.7034776378900007,259.50687378644943,0.0,237217.88968799825,0.0
29,54055,2439.078681,2000,0.6900100268551708,272.39182591438293,0.0,247991.97851586455,0.0
30,56055,2474.900085,2000,0.6423541705410046,256.86632841825485,0.08374281227588654,286116.6635671972,0.0
31,58055,2276.727911,2000,0.6607514764862726,355.03026098012924,5.457878112792969,271398.8188109819,0.0
32,60055,2502.455696,2000,0.7843822897533935,235.98723113536835,0.034439901355654,172494.16819728367,0.0
33,62055,2497.938483,2000,0.7723037790731867,238.8494834303856,0.0,182156.97674145192,0.0
34,64055,1935.780998,2000,0.8370869347908956,516.6866630315781,2.5712966918945312,130330.4521672855,0.0
35,64713,915.065683,658,1.0013849390665162,818.900853395462,7.270048260688782,0.0,0.0
36,66713,2498.493121,2000,0.7672608635614958,238.82364481687546,0.0,186191.30915080413,0.0
37,68713,2482.870022,2000,0.7453873417660452,247.73000925779343,0.0,203690.12658716345,0.0
38,70713,2465.197743,2000,0.7038539751936065,258.6432471871376,0.0,236916.81984511562,0.0
39,71281,891.887358,568,1.0011110312620777,830.4894268512726,8.011829257011414,0.0,0.0
40,73281,2460.91528,2000,0.8170803500975747,255.1213726401329,0.04188628401607275,146335.71992194085,0.0
41,75281,2483.869351,2000,0.8352597684923199,242.73725599050522,0.07452636957168579,131792.185206145,0.0
42,77281,2493.788784,2000,0.7982678269826698,239.6252676844597,0.0,161385.73841386577,0.0
43,79281,2371.079463,2000,0.6442064120564059,308.682918548584,0.06418860051780939,284634.8703548751,0.0
44,81281,2458.908894,2000,0.6939170247261568,262.28271424770355,0.6924323737621307,244866.38021907548,0.0
45,83281,2480.282595,2000,0.7872091489900417,246.93142622709274,1.499030888080597,170232.68080796543,0.0
46,85281,859.274814,2000,0.46351451759672446,1073.6165642738342,0.6458509713411331,429188.38592262095,0.0
47,86053,826.317209,772,1.0003270615249986,863.276481628418,20.0,0.0,0.0
48,88053,1339.861958,2000,0.906522089158113,811.1773431301117,0.0,74782.32867350952,0.0
49,90053,1406.842077,2000,0.8910087721646202,778.435617685318,0.0,87192.9822683029,0.0
50,92053,2462.966253,2000,0.84819926080813,252.53956764936447,1.7496412992477417,121440.59135349483,0.0
51,94053,2524.172007,2000,0.8786634792005873,220.4127162694931,0.24916138499975204,97069.21663953018,0.0
52,96053,2549.39086,2000,0.9330994500153884,205.08277416229248,0.7370287179946899,53520.43998768673,0.0
53,98053,2555.299963,2000,0.9302119281679584,202.27378606796265,0.17985915765166283,55830.45746563252,0.0
54,100053,2560.800788,2000,0.9949835838374862,196.28148525953293,0.07096832152456045,4013.132930010037,0.0
55,101403,2133.144313,1350,1.0001534122772535,209.86269414424896,3.9580506086349487,0.0,0.0
56,103334,2157.656281,1931,1.0000750316628815,197.60658591985703,0.37153586745262146,0.0,0.0
57,104658,2087.982859,1324,1.0015533358892041,232.4424684047699,4.5837026834487915,0.0,0.0
